instructions,inputs,aspects,outputs
Please extract the sentiment polarity for the given aspect in the review:,- Serviço de recepção muito ruim a noite;,serviço,negativa
Please extract the sentiment polarity for the given aspect in the review:,- Serviço de recepção muito ruim a noite;,recepção,negativa
Please extract the sentiment polarity for the given aspect in the review:,"- Acomodações com mobiliário velho e ruim, colchão péssimo;",colchão,negativa
Please extract the sentiment polarity for the given aspect in the review:,"A localização é ótima, dá para ir a pé em vários pontos turísticos como Times Square, Grand Central Station, Bryant Park, 5th Ave etc.",localização,positiva
Please extract the sentiment polarity for the given aspect in the review:,O serviço do hotel é ótimo e caso pegue os quartos com banheiro compartilhado é super tranquilo.,serviço,positiva
Please extract the sentiment polarity for the given aspect in the review:,O serviço do hotel é ótimo e caso pegue os quartos com banheiro compartilhado é super tranquilo.,hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,A única coisa ruim é que o quarto é pequeno e a cama de casal é pequena também.,cama,negativa
Please extract the sentiment polarity for the given aspect in the review:,"A localização é ótima, limpeza ótima e também o atendimento.",localização,positiva
Please extract the sentiment polarity for the given aspect in the review:,"A localização é ótima, limpeza ótima e também o atendimento.",limpeza,positiva
Please extract the sentiment polarity for the given aspect in the review:,"A localização é ótima, limpeza ótima e também o atendimento.",atendimento,positiva
Please extract the sentiment polarity for the given aspect in the review:,"A cama era ótima e dormimos muito bem depois de passear o dia todo, paris é maravilhosa.",cama,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O que deixou a desejar foi o banheiro, que é extremamente pequeno e o chuveiro oscila muito entre o quente e frio.",chuveiro,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Tem tudo perto do hotel, supermercado e McDonald, se quiser.",hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Mas o cheiro que havia no quarto, digo com seguranca de que não se deve a uma ou duas pessoas que fumaram.",quarto,neutra
Please extract the sentiment polarity for the given aspect in the review:,"O cheiro estava impregnado no colchão, travesseiros e carpete.",colchão,negativa
Please extract the sentiment polarity for the given aspect in the review:,"O cheiro estava impregnado no colchão, travesseiros e carpete.",travesseiro,negativa
Please extract the sentiment polarity for the given aspect in the review:,"O cheiro estava impregnado no colchão, travesseiros e carpete.",carpete,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Os quartos necessitam de obras rugentes, bem como o restante hotel (incluindo hall dos quartos, escadas, elevador).",quarto,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Os quartos necessitam de obras rugentes, bem como o restante hotel (incluindo hall dos quartos, escadas, elevador).",hotel,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Os quartos necessitam de obras rugentes, bem como o restante hotel (incluindo hall dos quartos, escadas, elevador).",escada,negativa
