inputs,instructions,outputs
Please extract the aspect terms in the review:,- Serviço de recepção muito ruim a noite;,serviço [ssep] recepção
Please extract the aspect terms in the review:,"- Acomodações com mobiliário velho e ruim, colchão péssimo;",colchão
Please extract the aspect terms in the review:,"- Ar condicionado sem funcionar, passamos frio a noite;",Ningún aspecto
Please extract the aspect terms in the review:,"- Quando pedimos para verificar as coisas, a resposta é que por se tratar do tipo do hotel era assim mesmo.",Ningún aspecto
Please extract the aspect terms in the review:,"A localização é ótima, dá para ir a pé em vários pontos turísticos como Times Square, Grand Central Station, Bryant Park, 5th Ave etc.",localização
Please extract the aspect terms in the review:,O serviço do hotel é ótimo e caso pegue os quartos com banheiro compartilhado é super tranquilo.,serviço [ssep] hotel
Please extract the aspect terms in the review:,A única coisa ruim é que o quarto é pequeno e a cama de casal é pequena também.,cama
Please extract the aspect terms in the review:,"São dois banheiros individuais no andar, muito limpos e no quarto ainda tem um lavabo.",Ningún aspecto
Please extract the aspect terms in the review:,"Mas, pelo tempo que se passa no hotel, não faz tanta diferença.",Ningún aspecto
Please extract the aspect terms in the review:,Super indico.,Ningún aspecto
Please extract the aspect terms in the review:,"A localização é ótima, limpeza ótima e também o atendimento.",localização [ssep] limpeza [ssep] atendimento
Please extract the aspect terms in the review:,"A cama era ótima e dormimos muito bem depois de passear o dia todo, paris é maravilhosa.",cama
Please extract the aspect terms in the review:,"O que deixou a desejar foi o banheiro, que é extremamente pequeno e o chuveiro oscila muito entre o quente e frio.",chuveiro
Please extract the aspect terms in the review:,"Tem tudo perto do hotel, supermercado e McDonald, se quiser.",hotel
Please extract the aspect terms in the review:,A estação do metro é bem ao lado mesmo!,Ningún aspecto
Please extract the aspect terms in the review:,"No geral recomendo, mas não esqueça que o quarto e wc são BEM pequenos.",Ningún aspecto
Please extract the aspect terms in the review:,"Mas o cheiro que havia no quarto, digo com seguranca de que não se deve a uma ou duas pessoas que fumaram.",quarto
Please extract the aspect terms in the review:,"O cheiro estava impregnado no colchão, travesseiros e carpete.",colchão [ssep] travesseiro [ssep] carpete
